RAZAO SOCIAL;Nome para Indicador
AGILA - AGILA ESPECIALIDADES FARMACEUTICAS LTDA;AGILA ESPECIALIDADES FARMACEUTICAS LTDA
AGILE MED IMPORTACAO E EXPORTACAO - AGILE MED IMPORTACAO E EXPORTACAO EIRELI;AGILE MED IMPORTACAO E EXPORTACAO
AGM DISTRIBUIDORA - AGM C E D D M D P E L LTDA;AGM DISTRIBUIDORA - AGM C E D D M D P E L LTDA
AGRALE - AGRALE SOCIEDADE ANONIMA;AGRALE SOCIEDADE ANONIMA
AGRICOLA BJ - AGRICOLA BOM JESUS LTDA;AGRICOLA BOM JESUS LTDA
AGRICOLA FAMOSA AS;AGRICOLA FAMOSA AS
AGRICOLA FAMOSA S.A.;AGRICOLA FAMOSA S.A.
AGRICOLA JARDIM - AGRICOLA JARDIM PROD E COM DE FRUTAS - EIRELI;AGRICOLA JARDIM PROD E COM DE FRUTAS - EIRELI
AGRISOLTEC - AGRISOLTEC SOLUCOES TECNOLOGICAS PARA AGRICULTURA LTDA;AGRISOLTEC SOLUCOES TECNOLOGICAS PARA AGRICULTURA LTDA
AGRO SOLIMOES - MARCIO MOTA DA CUNHA;AGRO SOLIMOES - MARCIO MOTA DA CUNHA - ME
AGRO SOLIMOES - MARCIO MOTA DA CUNHA - ME;AGRO SOLIMOES - MARCIO MOTA DA CUNHA - ME
AGRO-INDUSTRIAL  - AGRO-INDUSTRIAL OLIMPIA LTDA   ;AGRO-INDUSTRIAL 
AGROMELCA MAQUINAS AGRICOLAS DO BRASIL LTDA;AGROMELCA MAQUINAS AGRICOLAS DO BRASIL LTDA
AGROMILLORA PROD. E COM. DE MUDAS VEGETAIS;AGROMILLORA PROD. E COM. DE MUDAS VEGETAIS
AGRONORTE - OLIVEIRA E OLIVEIRA COMERCIO LTDA - ME;AGRONORTE - OLIVEIRA E OLIVEIRA COMERCIO LTDA - ME
AGROPECUARIA VEIGA LTDA;AGROPECUARIA VEIGA LTDA
AGUAS AZUIS CONSTRUCAO NAVAL SPE LTDA;AGUAS AZUIS CONSTRUCAO NAVAL SPE LTDA
AGUIA SOLUCOES TECNOLOGICAS EM ACO INOX LTDA - ME;AGUIA SOLUCOES TECNOLOGICAS EM ACO INOX LTDA - ME
AGUIA SOLUCOES TECNOLOGICAS EM ACO INOX LTDA - ME - AGUIA SOLUCOES TECNOLOGICAS EM ACO INOX LTDA;AGUIA SOLUCOES TECNOLOGICAS EM ACO INOX LTDA - ME
AIKAWA-AFT - AIKAWA-AFT DO BRASIL INDUSTRIA E COMERCIO LTDA.;AIKAWA-AFT DO BRASIL INDUSTRIA E COMERCIO LTDA.
AIR - AIR PRODUCTS BRASIL LTDA.;AIR - AIR PRODUCTS BRASIL LTDA.
AIR FRANCE - SOCIETE AIR FRANCE;AIR FRANCE - SOCIETE AIR FRANCE
AIR LIQUIDE BRASIL LTDA  ;AIR LIQUIDE BRASIL LTDA  
AJAX CONSULTORIA EMPRESARIAL;AJAX CONSULTORIA 
AJE IND ACESS AUTOM LTDA;AJE IND ACESS AUTOM LTDA
AJE IND ACESS AUTOM LTDA - A.J.E. INDUSTRIA DE ACESSORIOS AUTOMOBILISTICOS LTDA;AJE IND ACESS AUTOM LTDA
AJINOMOTO - AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L;AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L
AKDENIZ CHEMSON ADITIVOS LTDA;AKDENIZ CHEMSON ADITIVOS LTDA
AKRO-PLASTIC - AKRO-PLASTIC DO BRA IND E COMER DE POLIM DE DESEM LTDA;AKRO-PLASTIC DO BRA IND E COMER DE POLIM DE DESEM LTDA
AKRO-PLASTIC - AKRO-PLASTIC DO BRASIL INDUSTRIA E COMERCIO DE POLIMERO;AKRO-PLASTIC DO BRA IND E COMER DE POLIM DE DESEM LTDA
AKRO-PLASTIC - AKRO-PLASTIC DO BRASIL INDUSTRIA E COMERCIO DE POLIMEROS DE DESEMPENHO LTDA;AKRO-PLASTIC DO BRA IND E COMER DE POLIM DE DESEM LTDA
AKZO NOBEL - AKZO NOBEL LTDA;AKZO NOBEL LTDA
AKZO NOBEL - AKZO NOBEL LTDA - DIVISÃO DE TINTAS INDUSTRIAIS;AKZO NOBEL LTDA
AKZO NOBEL LTDA;AKZO NOBEL LTDA
ALAGOAS AMBIENTAL S/A;ALAGOAS AMBIENTAL S/A
ALAR PRODUTOS QUIMICOS LTDA;ALAR PRODUTOS QUIMICOS LTDA
ALBA IMPORTAÇÃO E EXPORTAÇÃO LTDA;ALBA IMPORTAÇÃO E EXPORTAÇÃO LTDA
ALBANY INTERNATIONAL - ALBANY INTERNATIONAL ;ALBANY INTERNATIONAL 
ALBANY INTERNATIONAL - ALBANY INTERNATIONAL TECIDOS TECNICOS LTDA.;ALBANY INTERNATIONAL 
ALBAR - ALBAR LOGISTICS LTDA;ALBAR - ALBAR LOGISTICS LTDA
ALBASTEEL INDUSTRIA E COMERCIO DE LIGAS PARA FUNDIÇÃO LTDA;ALBASTEEL
ALBEA - ALBEA DO BRASIL EMBALAGENS LTDA.;ALBEA DO BRASIL
ALBEA DO BRASIL - ALBEA DO BRASIL EMBALAGENS LTDA.;ALBEA DO BRASIL
ALBRAS  - METALÚRGICA ALBRAS LTDA;ALBRAS  - METALÚRGICA ALBRAS LTDA
ALBRAS - ALBRAS ALUMINIO BRASILEIRO S/A;ALBRAS ALUMINIO BRASILEIRO S/A
ALBRIGGS DEFESA AMBIENTAL S.A;ALBRIGGS DEFESA AMBIENTAL S.A
ALCOA  - ALCOA ALUMINIO S/A ;ALCOA ALUMINIO S/A 
ALCOA - ALCOA WORLD ALUMINA BRASIL LTDA;ALCOA WORLD ALUMINA BRASIL LTDA
ALCOA WORLD ALUMINA BRASIL LTDA;ALCOA WORLD ALUMINA BRASIL LTDA
ALDO COMPONENTES ELECTRONICOS LTDA;ALDO COMPONENTES ELECTRONICOS LTDA
ALENT - ALENT BRASIL SOLDA LTDA;ALENT BRASIL
ALENT - ALENT BRASIL SOLDAS LTDA;ALENT BRASIL
ALENT - ALPHA ASSEMBLY SOLUTIONS BRASIL SOLDAS LTDA;ALENT BRASIL
ALESSANDRA MARTINS DOS SANTOS;ALESSANDRA MARTINS DOS SANTOS
ALESSANDRO DOS SANTOS GOMES - ALESSANDRO DOS SANTOS GOMES - ME;ALESSANDRO DOS SANTOS GOMES - ME
ALETEC COMÉRCIO DE EQUIPAMENTOS LTDA - ALETEC;ALETEC COMÉRCIO DE EQUIPAMENTOS LTDA
ALEXANDRA QUEIROZ  - ALEXANDRA QUEIROZ;ALEXANDRA QUEIROZ  - ALEXANDRA QUEIROZ
ALFA LAVAL - ALFA LAVAL LTDA;ALFA LAVAL LTDA
ALFA LAVAL - ALFA LAVAL LTDA.;ALFA LAVAL LTDA
ALFA TREND - ALFA TREND INDUSTRIA E COMERCIO LTDA;ALFA TREND INDUSTRIA E COMERCIO LTDA
ALIANÇA - ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA
ALIANÇA - ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA
ALIANÇA - ALIANCA NAVEGACAO E LOGISTICA LTDA.;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA
ALIGN BRASIL  - ALIGN TECHNOLOGY DO BRASIL LTDA;ALIGN TECHNOLOGY DO BRASIL LTDA
ALINE CRISTINA ZANI;ALINE CRISTINA ZANI
ALINE NEVES DE MELLO;ALINE NEVES DE MELLO
ALKA TECNOLOGIA EM DIAGNOSTICO IMP E EXP DE PROD LTDA;ALKA TECNOLOGIA EM DIAGNOSTICO IMP E EXP DE PROD LTDA
AL-KO BRASIL COMERCIO DE PECAS PARA REBOQUES LTDA;AL-KO BRASIL COMERCIO DE PECAS PARA REBOQUES LTDA
AL-KO BRASIL COMERCIO DE PECAS PARA REBOQUES LTDA - AL-KO TECHNOLOGY BRASIL INDUSTRIA E COMERCIO DE PECAS P;AL-KO BRASIL COMERCIO DE PECAS PARA REBOQUES LTDA
ALL CONTINENTS LOGISTICA INTERNACIONAL LTDA ;ALL CONTINENTS LOGISTICA INTERNACIONAL LTDA 
ALL SUPPLIER TRADE COMERCIO EXTERIOR LTDA EPP;ALL SUPPLIER TRADE COMERCIO EXTERIOR LTDA EPP
ALLEBRAS - ALLEBRAS ISOLANTES TERMICOS E REFRATARIOS LTDA;ALLEBRAS ISOLANTES TERMICOS E REFRATARIOS LTDA
ALLIANCE ONE BRASIL EXPORTADORA DE TABACOS LTDA.   ;ALLIANCE ONE BRASIL EXPORTADORA DE TABACOS LTDA
ALLINK - ALLINK TRANSPORTES INTERNACIONAIS LTDA;ALLINK TRANSPORTES INTERNACIONAIS LTDA
ALLINK - ALLINK TRANSPORTES INTERNACIONAL LTDA;ALLINK TRANSPORTES INTERNACIONAIS LTDA
ALLINK TRANSP INTERNACIONAIS LTDA - ALLINK TRANSPORTES INTERNACIONAIS LTDA;ALLINK TRANSPORTES INTERNACIONAIS LTDA
ALLINK TRANSP. INTERNACIONAIS LTDA.;ALLINK TRANSPORTES INTERNACIONAIS LTDA
ALLINK TRANSP. INTERNACIONAIS LTDA. - ALLINK TRANSPORTES INTERNACIONAIS LTDA;ALLINK TRANSPORTES INTERNACIONAIS LTDA
ALLINK TRANSPORTES INTERNACIONAIS LTDA;ALLINK TRANSPORTES INTERNACIONAIS LTDA
ALLNEX QUIMICA BRASIL LTDA;ALLNEX QUIMICA BRASIL LTDA
ALLTRADE  - AL IMPORTACAO E EXPORTACAO EIRELI EPP - EPP ;AL IMPORTACAO E EXPORTACAO EIRELI EPP - EPP 
ALMEIDA COMERCIO ATACADISTA DE RESIDUOS DE PAPEL E PAPELÃO;ALMEIDA COMERCIO
ALMEX GLOBAL REP. TRANP. E LOG. INT. LTDA;ALMEX GLOBAL REP. TRANP. E LOG. INT. LTDA
ALPARGATAS - ALPARGATAS S.A.;ALPARGATAS S.A.
ALPARGATAS - ALPARGATAS S/A;ALPARGATAS S/A
ALPES - ALPES INDUSTRIA E COMERCIO DE PLASTICOS LTDA;ALPES INDUSTRIA E COMERCIO DE PLASTICOS LTDA
ALPHA - ALPHA SERVIÇOS DE LOGÍSTICA LTDA;ALPHA SERVIÇOS DE LOGÍSTICA LTDA
ALPHA ASSEMBLY SOLUTIONS BRASIL SOLDAS;ALPHA ASSEMBLY
ALPHA ASSEMBLY SOLUTIONS BRASIL SOLDAS - ALPHA ASSEMBLY SOLUTIONS BRASIL SOLDAS LTDA;ALPHA ASSEMBLY
